"﻿Customer Name","Customer Country","Description of the Customer's AI Use Case(s)","Opportunity Size V2",Status,Maturity,"Importance Classification","Priority - CoE Priotization","AI CoE Lead","AI Co-Prime",Specialist,"Opportunity ID",Region,"Slack Channel",Date,"Submitter Slack Email",Submitter,Comments,Proposal,Canvas,Partner,"Last communication"
,A6N68Y,"Crime Prevention (AML, Anti Terrorism Funding, Freud Detection, etc).

LF is a leading insurance company and bank in Sweden. They have an ambition to become the leader in Crime Prevention in the Nordic financial market. LF has purchased an ExaCC (Sovereign Cloud) and are exploring how Oracle can help them achieve their goals through the distributed cloud. They have shown interest in getting access to Oracle AI services through DRCC and we're just getting started in that discussion.

I'm looking for AI experts with experience from bank and finance customers to help excite the customer about working with Oracle.",<$5M,Inactive,,"Tier 1 - Incoming Engagement",,,,,,,,2024-10-08T18:33:43Z,fredrik.esplund@oracle.com,fredrik.esplund@oracle.com,,,,,
"ISA PoC GPUs",UAE,"Brief: Information Systems Associates (ISA) is an established Oracle Cloud customer with substantial data
assets and existing infrastructure investments. Their flight operations division is strategically
positioned to use large language models (LLMs) to enhance decision-making capabilities and delivery
efficiencies across flight operations.
Current Situation
ISA’s forward-looking strategy involves
1. Initially deploying one or more LLMs to support flight operations decision-making
2. Future expansion requiring rapid and scalable deployment of multiple LLMs
3. Using Oracle Cloud infrastructure that maximises utilization for AI workloads
Proof of Concept Objectives
This proof of concept will validate Oracle Cloud's capabilities to effectivel
- Orchestrate the selection process of appropriate LLMs
- Streamline deployment workflows for single and multiple model scenarios
- Benchmark performance metrics to establish baseline expectations
- Optimize infrastructure configuration for LLM workloa",<=$500K,Inactive,,"Tier 1 - Incoming Engagement",,,,,n/a,MEA,,"April 4th, 2025 at 11:30 AM UTC",WCPTY78AK,raffaella.balletta@oracle.com,,,,,
"PwC Belgium",BELGIUM,"For PwC Belgium (my end-customer), we are having an AI session this Friday (3-4pm CET).  We will do a high level presa (GenAI/GPU) for a mostly business-oriented audience.  It would be good however if we could one of your resources available )(on stand-by?).   We do not expect any big questions but better be prepared,..","<= $100K",Paused,Qualification,"Tier 1 - Incoming Engagement",,frank.riemer@oracle.com,,,A72RKL,West,C08LQ0XG7PV,"April 2nd, 2025 at 12:28 PM UTC",WQ29QP2QN,edward.van.den.bulck@oracle.com,,,,,
"Yettel Bulgaria",Bulgaria,"I'd like to engage an AI specialist with expertise in both GenAI and Oracle Digital Assistant to support me on this opportunity with PPT, Solution Architecture, Demo & PoC. 
Initial customer use case is : 
Customer has 2 Service Managements (SM) systems: JIRA and Conclusion (https://www.eller.cz/conclusion.php , from Eller). 
Customer needs an AI solution to support the service desk (service agents) with the following capabilities: 
1. Helps the service agent (the human) with suggestions and instructions taken (semantic search, etc.) form a given knowledge base (Excel and /or PDF files) on how to open particular SRs. 
2. Ideally, based on the human instructions/criteria, the AI opens/submits automatically the SR on behalf of the service agent (the human).
Addition details will be provided to the allocated resource. Thank you.","<= $100K",Active,Discovery,"Tier 1 - Incoming Engagement",,"andreas.stellatos@oracle.com, srinivas.karri@oracle.com",,,A883P6,North,C08PDJZM67M,"April 2nd, 2025 at 12:57 PM UTC",WBQK8R9PZ,george.moykin@oracle.com,"Jira integration PoC with AI Assistant use case, Specialists to be assigned before next steps.",,,,
"Asystel-BDF S.p.A",Italy,"Our customer is interested in our AI services for developing custom business applications. They would like an overview of Oracle AI services on OCI and how to leverage them for their applications. In particular, they aim to develop a chatbot and utilize Oracle Artificial Intelligence services to streamline employee onboarding once they are hired.","<= $100K",Inactive,Qualification,"Tier 1 - Incoming Engagement",,cristina.lemnaru@oracle.com,,,A876WZ,South,C08LD4MR085,"April 2nd, 2025 at 1:11 PM UTC",WFAL2JUGY,ivan.benegiamo@oracle.com,,,,,
PwC,BE,"Co Pilot in combination with C3 (Co Pilot in Azure and C3 for confidential data)","<= $100K",Paused,,"Tier 1 - Incoming Engagement",,frank.riemer@oracle.com,,,A72RKL,West,C08LQ0XG7PV,"April 3rd, 2025 at 6:36 AM UTC",WQ29QP2QN,edward.van.den.bulck@oracle.com,,,,,
GPAA,"South Africa","Digital Assistant opportunity. Co create being arranged for next week",<=$500K,Active,Solutioning,"Tier 1 - Incoming Engagement",,"jomon.kunnel@oracle.com, sofia.pascual.armstrong@oracle.com",,"maurits.dijkens@oracle.com, ras.alungei@oracle.com",A87SQJ,MEA,C08M50NLLBU|C08S7C8B2V8,"April 3rd, 2025 at 11:05 AM UTC",WCPTY78AK,raffaella.balletta@oracle.com,,,,,
"Daimler Trucks",Germany,"Daimler Trucks is looking for AI based lead tracking solutions to replace or augment existing CRM systems (Siebel). Use case is lead tracking for car dealerships. They are currently looking into Azure AI and OpenAI for this. Can we provide solution ideas to pitch at the customer for this use case via OCI?
Customer is existing OCI customer and is on day two with first systems activated. Also customer is HCM customer and we could pitch HCM related AI use cases e.g. involving Agents.",<=$500K,Inactive,,"Tier 1 - Incoming Engagement",,frank.riemer@oracle.com,,,tbd,North,,"April 3rd, 2025 at 3:26 PM UTC",U085233E0G5,friedrich.stahl@oracle.com,,,,,
"Bayer AG",Germany,"CIO Pharma is sponsoring a Hakathon only with OCI. Therefore, we need a technical resource to help with the planing and execution of the Hackathon helping to ensure that we achieve agreed outcomes.","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,,,,A87YF5,North,,"April 3rd, 2025 at 4:10 PM UTC",U087WS9CGUR,santiago.cabrera.naranjo@oracle.com,,,,,
,,,,Inactive,,"Tier 1 - Incoming Engagement",,,,,,,,,,,,,,,
Promologis,France,"Customer is processing ~50k documents  a year (mainly forms and official certifications) and is asking for help to use AI to extract information from these documents and then GenAI to fill in redacted part of it into an APEX application (to be built by the customer for that purpose).

Documents are in French and cannot be processed by Document Understanding (confirmed by PM).

We need help ASAP to setup a GPU instance and install ""ollama-ocr"" and model ""granite3.2-vision"" with few others to do some tests on the sample documents shared by the customer.
Meeting with customer expected in 2 weeks and we need to be ready to demo valuable results.","<= $100K",Paused,Solutioning,"Tier 1 - Incoming Engagement",,frank.riemer@oracle.com,,,A6952V,South,C08LFRP4K44,"April 2nd, 2025 at 7:29 AM UTC",U0728P9SBPV,philippe.s.saade@oracle.com,,,,,
